Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att2,Launch%3,AvgLen4,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,MP,Starts,Min,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,Pkatt,PKsv,PKm,Save%2,Gls,Ast,G+A,G-PK,PK,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls2,Ast3,G+A4,G-PK5,G+A-PK,xG6,xAG7,xG+xAG,npxG8,npxG+xAG9
Daniel Fuzato,BRA,GK,Getafe,La Liga,26,1997,0.1,2,0,0,1,0,1.3,0.63,-0.7,-9.63,2,7,28.6,6,1,50,39.2,4,100,71.8,5,1,20,0,0,10.7,1,0,7,25.71,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paulo Gazzaniga,ARG,GK,Girona,La Liga,31,1992,38,46,5,0,8,0,51.1,0.28,5.1,0.13,155,420,36.9,1140,178,25.6,30,246,52,44.8,534,41,7.7,33,0.87,13.2,38,38,3420,1.21,168,121,75.6,25,6,7,12,31.6,7,1,1,16.7,0,0,0,0,0,2,0,0,0,0.7,0.7,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02
Luca Gemello,ITA,GK,Torino,Serie A,23,2000,2,5,1,0,0,0,3.6,0.31,-1.4,-0.72,10,29,34.5,104,8,26.9,31.1,12,8.3,19.7,24,3,12.5,3,1.5,12,2,2,180,2.5,9,4,55.6,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Gil,ESP,GK,Cádiz,La Liga,29,1994,4.1,8,0,0,0,1,5.3,0.26,-1.7,-0.4,51,125,40.8,104,8,76.9,49.3,48,93.8,63.5,91,7,7.7,0,0,7,5,4,372,1.94,24,17,66.7,0,3,1,1,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierluigi Gollini,ITA,GK,Napoli,Serie A,28,1995,7,8,0,0,1,0,8.2,0.34,0.2,0.02,27,68,39.7,213,28,22.1,29.5,53,39.6,36.3,82,5,6.1,9,1.29,16.2,7,7,630,1.14,24,16,66.7,3,1,3,1,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mathieu Gorgelin,FRA,GK,Le Havre,Ligue 1,32,1990,1,2,1,0,0,0,2.9,0.39,0.9,0.92,3,9,33.3,17,0,47.1,33.1,2,50,32.5,12,0,0,1,1,14.5,1,1,90,2,5,3,80,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jens Grahl,GER,GK,Eint Frankfurt,Bundesliga,34,1988,2,2,0,0,0,0,1.4,0.15,-0.6,-0.31,4,29,13.8,77,15,31.2,34.4,15,33.3,37.9,33,4,12.1,4,2,15.7,2,2,180,1,9,7,77.8,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0.5,0.5,0,0.5,0,0.12,0.12,0,0.12
Ivo Grbić,CRO,GK,Sheffield Utd,Premier League,27,1996,8.6,25,0,0,4,2,14.7,0.25,-8.3,-0.97,65,199,32.7,207,25,57.5,41.2,89,89.9,59.4,193,11,5.7,14,1.63,14.4,9,9,771,2.92,59,36,57.6,0,3,6,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominik Greif,SVK,GK,Mallorca,La Liga,26,1997,1,0,0,0,0,0,0.7,0.16,0.7,0.66,10,18,55.6,23,3,52.2,42,9,66.7,54.2,12,0,0,1,1,23,1,1,90,0,4,4,100,0,1,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vicente Guaita,ESP,GK,Celta Vigo,La Liga,36,1987,26.7,39,4,0,5,2,39.7,0.31,2.7,0.1,137,356,38.5,589,134,39.4,35.5,213,58.2,45.3,420,23,5.5,27,1.01,13.3,27,26,2403,1.46,120,83,70.8,8,7,11,6,23.1,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Péter Gulácsi,HUN,GK,RB Leipzig,Bundesliga,33,1990,13,9,0,1,1,1,10.3,0.25,2.3,0.17,22,79,27.8,373,58,12.9,25.1,97,32,32.2,175,7,4,14,1.08,14.5,13,13,1170,0.69,41,33,78,9,4,0,5,38.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dean Henderson,ENG,GK,Crystal Palace,Premier League,26,1997,18,30,1,0,3,1,27.4,0.31,-1.6,-0.09,59,245,24.1,377,52,46.7,38.6,105,65.7,47,246,5,2,17,0.94,13.8,18,18,1620,1.67,86,57,66.3,8,4,6,4,22.2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio Herrera,ESP,GK,Osasuna,La Liga,30,1993,31.9,47,0,0,6,0,45.6,0.34,-1.4,-0.04,282,658,42.9,961,100,52,40.4,222,71.2,51.2,468,29,6.2,43,1.35,16.4,32,32,2869,1.47,132,84,64.4,12,7,13,9,28.1,1,1,0,100,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lukáš Hrádecký,FIN,GK,Leverkusen,Bundesliga,33,1989,33,24,0,0,4,0,27.5,0.27,3.5,0.11,71,202,35.1,736,165,20.8,27.6,145,33.8,34.5,313,27,8.6,39,1.18,16.5,33,33,2970,0.73,102,78,76.5,28,5,0,15,45.5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sam Johnstone,ENG,GK,Crystal Palace,Premier League,30,1993,20,27,2,0,4,1,20,0.27,-6,-0.3,117,355,33,453,63,55,41.2,141,75.2,52.8,339,24,7.1,12,0.6,11.2,20,20,1796,1.35,67,41,62.7,5,6,9,6,30,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Filip Jørgensen,DEN,GK,Villarreal,La Liga,21,2002,36,63,6,1,9,1,59.8,0.27,-2.2,-0.06,144,360,40,1055,178,24.5,29.7,245,41.6,37.8,650,34,5.2,36,1,13.4,36,36,3240,1.75,205,143,72.2,13,10,13,6,16.7,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Kaminski,BEL,GK,Luton Town,Premier League,30,1992,37.8,85,4,0,13,4,77.6,0.34,-3.4,-0.09,271,808,33.5,1121,150,52,39.5,341,66,47.5,558,16,2.9,76,2.01,20.5,38,38,3405,2.25,221,140,63.3,6,8,24,2,5.3,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Loris Karius,GER,GK,Newcastle Utd,Premier League,30,1993,1,4,0,0,1,1,2,0.29,-1,-0.99,3,18,16.7,27,5,48.1,36.3,9,55.6,41.8,10,1,10,3,3,19.5,1,1,90,4,7,4,42.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caoimhín Kelleher,IRL,GK,Liverpool,Premier League,24,1998,10,11,0,0,3,1,11.3,0.3,1.3,0.13,32,102,31.4,411,52,22.4,27.3,28,35.7,34.9,77,5,6.5,13,1.3,17,10,10,900,1.1,38,28,71.1,8,2,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gregor Kobel,SUI,GK,Dortmund,Bundesliga,25,1997,26.3,34,5,0,9,1,36.8,0.28,3.8,0.14,106,268,39.6,1006,106,19.6,28.1,165,43,38.5,359,7,1.9,17,0.65,12.5,27,27,2365,1.29,118,84,75.4,14,8,5,7,25.9,6,1,0,16.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philipp Köhn,SUI,GK,Monaco,Ligue 1,25,1998,22,32,5,1,6,1,32,0.27,1,0.05,82,249,32.9,536,91,32.5,32.1,130,57.7,43.5,282,22,7.8,19,0.86,11.3,22,22,1980,1.45,97,65,72.2,11,5,6,5,22.7,6,1,0,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomáš Koubek,CZE,GK,Augsburg,Bundesliga,30,1992,3,8,0,0,2,0,6.7,0.29,-1.3,-0.43,16,40,40,74,6,36.5,34.5,24,54.2,46.5,36,2,5.6,2,0.67,11.6,3,3,270,2.67,25,17,68,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
